iter	Passed	Remaining
0	0	77
1	1	67
2	1	63
3	2	58
4	3	57
5	3	56
6	4	55
7	5	58
8	7	73
9	8	78
10	9	75
11	9	72
12	10	70
13	11	67
14	11	66
15	12	64
16	12	62
17	13	61
18	14	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	53
24	17	52
25	18	51
26	19	51
27	22	56
28	23	58
29	24	56
30	25	55
31	25	54
32	26	53
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	36	39
48	38	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	48	24
67	50	23
68	51	23
69	53	22
70	53	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	73	1
98	74	0
99	74	0
