iter	Passed	Remaining
0	167	167501
1	173	86764
2	177	58990
3	180	44998
4	184	36688
5	189	31405
6	193	27380
7	196	24322
8	203	22363
9	206	20415
10	209	18808
11	211	17448
12	217	16486
13	219	15491
14	222	14623
15	225	13859
16	228	13239
17	232	12675
18	235	12138
19	237	11657
20	240	11233
21	247	10996
22	250	10638
23	253	10297
24	256	9987
25	260	9776
26	263	9501
27	266	9249
28	268	8987
29	270	8737
30	272	8503
31	274	8312
32	276	8091
33	277	7882
34	278	7684
35	279	7497
36	281	7335
37	283	7169
38	284	7010
39	285	6858
40	288	6746
41	289	6611
42	291	6478
43	292	6359
44	293	6236
45	294	6117
46	296	6002
47	297	5892
48	298	5786
49	299	5685
50	300	5587
51	303	5524
52	304	5434
53	305	5346
54	306	5261
55	307	5179
56	308	5100
57	309	5024
58	310	4950
59	311	4879
60	312	4810
61	313	4743
62	314	4678
63	315	4616
64	318	4579
65	319	4520
66	320	4463
67	321	4406
68	322	4352
69	323	4299
70	324	4248
71	325	4198
72	326	4150
73	327	4102
74	328	4056
75	330	4012
76	331	3969
77	333	3944
78	334	3903
79	335	3861
80	336	3822
81	337	3782
82	338	3739
83	339	3702
84	340	3666
85	341	3633
86	343	3604
87	345	3575
88	346	3549
89	348	3523
90	349	3494
91	351	3466
92	352	3435
93	353	3405
94	354	3376
95	355	3347
96	356	3318
97	357	3290
98	358	3262
99	359	3236
100	360	3212
101	362	3195
102	364	3172
103	365	3148
104	366	3126
105	368	3103
106	369	3085
107	371	3069
108	373	3049
109	374	3031
110	378	3031
111	380	3017
112	382	3000
113	383	2983
114	385	2964
115	386	2948
116	388	2929
117	389	2913
118	392	2908
119	394	2894
120	396	2878
121	397	2861
122	399	2845
123	400	2826
124	401	2808
125	402	2790
126	403	2771
127	404	2754
128	405	2736
129	407	2728
130	408	2712
131	409	2695
132	411	2679
133	412	2663
134	413	2647
135	414	2631
136	415	2615
137	416	2601
138	417	2586
139	418	2571
140	419	2556
141	420	2539
142	422	2533
143	423	2519
144	424	2505
145	426	2491
146	427	2478
147	428	2464
148	429	2451
149	430	2438
150	431	2425
151	432	2412
152	433	2400
153	434	2387
154	436	2376
155	437	2369
156	439	2357
157	440	2345
158	441	2333
159	442	2321
160	442	2307
161	443	2296
162	444	2284
163	445	2273
164	447	2262
165	448	2251
166	449	2240
167	450	2229
168	452	2226
169	453	2215
170	454	2205
171	455	2195
172	457	2184
173	458	2174
174	459	2164
175	460	2154
176	461	2144
177	462	2134
178	463	2125
179	464	2115
180	465	2107
181	468	2103
182	469	2094
183	470	2085
184	471	2075
185	472	2066
186	473	2057
187	474	2050
188	476	2043
189	478	2038
190	479	2030
191	482	2031
192	484	2023
193	485	2016
194	486	2009
195	488	2002
196	490	1997
197	491	1991
198	492	1984
199	494	1976
200	497	1978
201	499	1971
202	500	1965
203	501	1957
204	502	1949
205	503	1942
206	504	1934
207	506	1928
208	507	1921
209	508	1913
210	509	1906
211	512	1905
212	514	1899
213	515	1893
214	516	1887
215	517	1880
216	519	1874
217	520	1866
218	521	1859
219	522	1852
220	523	1846
221	524	1839
222	527	1838
223	528	1831
224	529	1825
225	531	1819
226	532	1813
227	533	1807
228	534	1800
229	535	1793
230	537	1788
231	538	1782
232	539	1776
233	541	1773
234	546	1779
235	548	1775
236	550	1772
237	551	1766
238	552	1760
239	554	1755
240	560	1764
241	562	1761
242	563	1756
243	565	1751
244	566	1746
245	567	1740
246	572	1746
247	574	1743
248	576	1739
249	579	1738
250	580	1733
251	582	1729
252	584	1724
253	587	1724
254	589	1720
255	590	1716
256	591	1711
257	593	1706
258	595	1703
259	596	1698
260	598	1693
261	599	1688
262	604	1693
263	606	1690
264	608	1688
265	610	1683
266	611	1678
267	612	1673
268	614	1670
269	618	1671
270	620	1668
271	622	1666
272	624	1662
273	625	1657
274	628	1657
275	630	1653
276	634	1657
277	637	1655
278	639	1652
279	641	1648
280	642	1643
281	643	1639
282	647	1640
283	649	1636
284	650	1632
285	653	1630
286	654	1626
287	656	1622
288	657	1617
289	659	1613
290	662	1613
291	663	1608
292	665	1605
293	667	1601
294	668	1597
295	669	1592
296	671	1589
297	673	1585
298	677	1588
299	679	1584
300	680	1580
301	683	1580
302	685	1576
303	686	1572
304	688	1568
305	689	1563
306	693	1564
307	694	1560
308	696	1556
309	697	1552
310	698	1547
311	700	1543
312	701	1539
313	702	1535
314	704	1531
315	707	1532
316	709	1527
317	710	1523
318	711	1519
319	712	1514
320	713	1510
321	715	1505
322	716	1501
323	717	1497
324	719	1494
325	722	1494
326	724	1490
327	725	1486
328	726	1482
329	728	1478
330	729	1474
331	730	1470
332	732	1466
333	733	1462
334	734	1458
335	738	1458
336	739	1454
337	740	1450
338	741	1446
339	743	1442
340	744	1438
341	745	1434
342	746	1430
343	748	1426
344	749	1423
345	753	1423
346	754	1419
347	755	1416
348	757	1412
349	758	1408
350	759	1404
351	760	1400
352	762	1397
353	763	1393
354	764	1389
355	768	1389
356	769	1386
357	771	1383
358	773	1381
359	775	1377
360	776	1374
361	777	1370
362	779	1367
363	780	1363
364	784	1364
365	786	1362
366	787	1358
367	789	1355
368	791	1353
